micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27106|single_family|na|1500-2000|4|3,27106,single_family,na,1500-2000,4,3,15,37.0,85.5,53.3,0.0
27127|single_family|na|1000-1500|3|2,27127,single_family,na,1000-1500,3,2,154,37.0,54.0,52.6,0.0
27407|single_family|na|500-1000|2|1,27407,single_family,na,500-1000,2,1,19,37.0,54.5,52.6,0.0
27265|single_family|na|1500-2000|3|2,27265,single_family,na,1500-2000,3,2,47,37.0,50.5,51.1,0.0
27127|single_family|na|1500-2000|2|2,27127,single_family,na,1500-2000,2,2,6,37.0,50.75,50.0,0.0
27408|single_family|na|1000-1500|3|2,27408,single_family,na,1000-1500,3,2,21,37.0,50.0,47.6,0.0
27406|single_family|na|1000-1500|2|1,27406,single_family,na,1000-1500,2,1,10,37.5,57.0,50.0,0.0
27127|single_family|na|500-1000|1|1,27127,single_family,na,500-1000,1,1,5,38.0,58.0,60.0,0.0
27403|single_family|na|2000-2500|3|3,27403,single_family,na,2000-2500,3,3,5,38.0,40.0,60.0,0.0
27262|single_family|na|1000-1500|2|1,27262,single_family,na,1000-1500,2,1,20,38.0,64.5,55.0,0.0
27127|single_family|na|2000-2500|3|3,27127,single_family,na,2000-2500,3,3,6,38.0,68.0,50.0,0.0
27407|single_family|na|1500-2000|3|2,27407,single_family,na,1500-2000,3,2,34,38.5,47.75,50.0,0.0
27262|single_family|na|2000-2500|3|2,27262,single_family,na,2000-2500,3,2,14,39.0,45.75,71.4,0.0
27107|single_family|na|3000-3500|3|1,27107,single_family,na,3000-3500,3,1,8,39.0,63.5,50.0,0.0
27406|single_family|na|1000-1500|3|1,27406,single_family,na,1000-1500,3,1,30,39.5,54.0,53.3,0.0
27106|single_family|na|1000-1500|4|3,27106,single_family,na,1000-1500,4,3,6,39.5,71.5,50.0,0.0
27107|single_family|na|2500-3000|4|2,27107,single_family,na,2500-3000,4,2,6,39.5,57.5,50.0,0.0
27410|single_family|na|1500-2000|3|2,27410,single_family,na,1500-2000,3,2,45,40.0,57.0,62.2,0.0
27410|single_family|na|2000-2500|3|2,27410,single_family,na,2000-2500,3,2,23,40.0,54.0,56.5,0.0
27262|single_family|na|1500-2000|3|2,27262,single_family,na,1500-2000,3,2,18,40.0,66.25,55.6,0.0
27410|single_family|na|1000-1500|3|2,27410,single_family,na,1000-1500,3,2,20,40.0,58.75,55.0,0.0
27410|single_family|na|2000-2500|4|2,27410,single_family,na,2000-2500,4,2,37,40.0,54.0,51.4,0.0
27455|single_family|na|2500-3000|4|3,27455,single_family,na,2500-3000,4,3,12,40.0,67.5,50.0,0.0
27105|single_family|na|1000-1500|3|2,27105,single_family,na,1000-1500,3,2,82,40.0,68.0,48.8,0.0
27409|single_family|na|500-1000|2|1,27409,single_family,na,500-1000,2,1,33,40.0,61.0,48.5,0.0
27107|single_family|na|1000-1500|3|1,27107,single_family,na,1000-1500,3,1,62,40.0,59.75,48.4,0.0
27106|single_family|na|1000-1500|2|2,27106,single_family,na,1000-1500,2,2,52,40.0,62.0,48.1,0.0
27403|single_family|na|1500-2000|3|2,27403,single_family,na,1500-2000,3,2,23,40.0,75.0,47.8,0.0
27106|single_family|na|1000-1500|3|2,27106,single_family,na,1000-1500,3,2,80,40.0,58.0,47.5,0.0
